ID,Prompt,Model,Correct_final,Relevance_final,Scientific_final
a_1_1,A black square.,automatikz,3,4,5
a_1_1,A black square.,llama_tikz,5,5,5
a_1_1,A black square.,gpt4o_tikz,5,5,5
a_1_1,A black square.,stable_diffusion,5,3.5,4
a_1_1,A black square.,llama_python,1.5,3,5
a_1_1,A black square.,gpt4o_python,5,5,5
a_1_1,A black square.,dalle,5,3.5,3
a_2_1,A red triangle and a green circle.,automatikz,5,5,5
a_2_1,A red triangle and a green circle.,llama_tikz,5,5,5
a_2_1,A red triangle and a green circle.,gpt4o_tikz,5,5,5
a_2_1,A red triangle and a green circle.,stable_diffusion,5,2,2
a_2_1,A red triangle and a green circle.,llama_python,3,3,4.5
a_2_1,A red triangle and a green circle.,gpt4o_python,5,3.5,5
a_2_1,A red triangle and a green circle.,dalle,5,2.5,2
a_3_1,A circle with a blue border.,automatikz,4.5,3.5,5
a_3_1,A circle with a blue border.,llama_tikz,5,5,5
a_3_1,A circle with a blue border.,gpt4o_tikz,5,5,5
a_3_1,A circle with a blue border.,stable_diffusion,4,2.5,2.5
a_3_1,A circle with a blue border.,llama_python,5,5,5
a_3_1,A circle with a blue border.,gpt4o_python,5,5,5
a_3_1,A circle with a blue border.,dalle,3.5,2.5,3
a_4_1,A yellow circle with the border of a different color.,automatikz,5,5,5
a_4_1,A yellow circle with the border of a different color.,llama_tikz,5,5,5
a_4_1,A yellow circle with the border of a different color.,gpt4o_tikz,5,5,5
a_4_1,A yellow circle with the border of a different color.,stable_diffusion,3.5,2.5,3
a_4_1,A yellow circle with the border of a different color.,llama_python,5,5,5
a_4_1,A yellow circle with the border of a different color.,gpt4o_python,5,5,5
a_4_1,A yellow circle with the border of a different color.,dalle,3,2,1.5
a_5_1,A circle with its radius marked in orange.,automatikz,3,3,4
a_5_1,A circle with its radius marked in orange.,llama_tikz,3.5,4,4
a_5_1,A circle with its radius marked in orange.,gpt4o_tikz,5,5,4.5
a_5_1,A circle with its radius marked in orange.,stable_diffusion,2.5,2,2.5
a_5_1,A circle with its radius marked in orange.,llama_python,5,4.5,5
a_5_1,A circle with its radius marked in orange.,gpt4o_python,5,5,4.5
a_5_1,A circle with its radius marked in orange.,dalle,2.5,2,1.5
a_6_1,A large rectangle and a small one.,automatikz,5,5,5
a_6_1,A large rectangle and a small one.,llama_tikz,5,4,5
a_6_1,A large rectangle and a small one.,gpt4o_tikz,5,4,5
a_6_1,A large rectangle and a small one.,stable_diffusion,2,1.5,2
a_6_1,A large rectangle and a small one.,llama_python,5,5,5
a_6_1,A large rectangle and a small one.,gpt4o_python,5,4,5
a_6_1,A large rectangle and a small one.,dalle,3,2.5,3
a_7_1,Some squares of different sizes.,automatikz,2.5,2,3.5
a_7_1,Some squares of different sizes.,llama_tikz,3.5,3.5,4.5
a_7_1,Some squares of different sizes.,gpt4o_tikz,5,4,4.5
a_7_1,Some squares of different sizes.,stable_diffusion,1.5,1,2
a_7_1,Some squares of different sizes.,llama_python,3,5,5
a_7_1,Some squares of different sizes.,gpt4o_python,4,4,5
a_7_1,Some squares of different sizes.,dalle,2.5,2.5,1.5
a_8_1,The diagonal of the square is red and very thick.,automatikz,1.5,1.5,4
a_8_1,The diagonal of the square is red and very thick.,llama_tikz,4.5,2.5,4.5
a_8_1,The diagonal of the square is red and very thick.,gpt4o_tikz,4,5,5
a_8_1,The diagonal of the square is red and very thick.,stable_diffusion,2.5,2.5,3.5
a_8_1,The diagonal of the square is red and very thick.,llama_python,2,3,3.5
a_8_1,The diagonal of the square is red and very thick.,gpt4o_python,3.5,4,5
a_8_1,The diagonal of the square is red and very thick.,dalle,4,3.5,2
a_9_1,A square with rounded corners.,automatikz,5,5,5
a_9_1,A square with rounded corners.,llama_tikz,5,5,5
a_9_1,A square with rounded corners.,gpt4o_tikz,5,5,5
a_9_1,A square with rounded corners.,stable_diffusion,2,2,3
a_9_1,A square with rounded corners.,llama_python,0,0,0
a_9_1,A square with rounded corners.,gpt4o_python,5,3,5
a_9_1,A square with rounded corners.,dalle,2.5,1.5,1.5
a_10_1,A triangle with sides of equal length.,automatikz,5,5,5
a_10_1,A triangle with sides of equal length.,llama_tikz,5,5,5
a_10_1,A triangle with sides of equal length.,gpt4o_tikz,5,5,5
a_10_1,A triangle with sides of equal length.,stable_diffusion,4,2,2
a_10_1,A triangle with sides of equal length.,llama_python,5,5,5
a_10_1,A triangle with sides of equal length.,gpt4o_python,5,5,5
a_10_1,A triangle with sides of equal length.,dalle,4,2.5,1.5
a_11_1,Some circles are of different sizes and the largest one is in red.,automatikz,3.5,4,4
a_11_1,Some circles are of different sizes and the largest one is in red.,llama_tikz,4,4.5,4.5
a_11_1,Some circles are of different sizes and the largest one is in red.,gpt4o_tikz,5,4.5,4.5
a_11_1,Some circles are of different sizes and the largest one is in red.,stable_diffusion,2.5,3,2.5
a_11_1,Some circles are of different sizes and the largest one is in red.,llama_python,2,5,4
a_11_1,Some circles are of different sizes and the largest one is in red.,gpt4o_python,3,3,4.5
a_11_1,Some circles are of different sizes and the largest one is in red.,dalle,4.5,4,3
a_12_1,A box and its shadow which is longer than it.,automatikz,1.5,2,4.5
