ID,Prompt_EN,Prompt,Prompt_python,Prompt_tikz
a_10_1_DE,A triangle with sides of equal length.,"Ein Dreieck, dessen Seiten gleich lang sind.","Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein Dreieck, dessen Seiten gleich lang sind. Die Ausgabe sollte als Python-Code erfolgen. Füge keinen anderen Text als den Python-Code ein.","Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein Dreieck, dessen Seiten gleich lang sind. Die Ausgabe sollte als TikZ-Code erfolgen. Füge keinen anderen Text als den TikZ-Code ein."
a_9_3_DE,A quadrilateral with rounded corners.,Ein Viereck mit abgerundeten Ecken.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein Viereck mit abgerundeten Ecken. Die Ausgabe sollte als Python-Code erfolgen. Füge keinen anderen Text als den Python-Code ein.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein Viereck mit abgerundeten Ecken. Die Ausgabe sollte als TikZ-Code erfolgen. Füge keinen anderen Text als den TikZ-Code ein.
n_10_2_DE,"A pentagon is divided into N parts using N-1 lines, where N > 2.","Ein Fünfeck ist durch N-1 Linien in N Teile unterteilt, wobei N > 2.","Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein Fünfeck ist durch N-1 Linien in N Teile unterteilt, wobei N > 2. Die Ausgabe sollte als Python-Code erfolgen. Füge keinen anderen Text als den Python-Code ein.","Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein Fünfeck ist durch N-1 Linien in N Teile unterteilt, wobei N > 2. Die Ausgabe sollte als TikZ-Code erfolgen. Füge keinen anderen Text als den TikZ-Code ein."
n_13_1_DE,A binary tree with a total of 7 nodes.,Ein Binärbaum mit insgesamt 7 Knoten.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein Binärbaum mit insgesamt 7 Knoten. Die Ausgabe sollte als Python-Code erfolgen. Füge keinen anderen Text als den Python-Code ein.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein Binärbaum mit insgesamt 7 Knoten. Die Ausgabe sollte als TikZ-Code erfolgen. Füge keinen anderen Text als den TikZ-Code ein.
n_15_3_DE,"A bar chart shows the number of graduates in different subjects within the community. 1,800 studied humanities, 4,500 studied science, and 5,520 studied engineering. The values are marked at the top of each bar.","Ein Balkendiagramm zeigt die Anzahl der Absolventen in verschiedenen Fächern innerhalb der Gemeinde. 1.800 studierten Geisteswissenschaften, 4.500 studierten Naturwissenschaften und 5.520 studierten Ingenieurwissenschaften. Die Werte sind oben in jedem Balken markiert.","Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein Balkendiagramm zeigt die Anzahl der Absolventen in verschiedenen Fächern innerhalb der Gemeinde. 1.800 studierten Geisteswissenschaften, 4.500 studierten Naturwissenschaften und 5.520 studierten Ingenieurwissenschaften. Die Werte sind oben in jedem Balken markiert. Die Ausgabe sollte als Python-Code erfolgen. Füge keinen anderen Text als den Python-Code ein.","Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein Balkendiagramm zeigt die Anzahl der Absolventen in verschiedenen Fächern innerhalb der Gemeinde. 1.800 studierten Geisteswissenschaften, 4.500 studierten Naturwissenschaften und 5.520 studierten Ingenieurwissenschaften. Die Werte sind oben in jedem Balken markiert. Die Ausgabe sollte als TikZ-Code erfolgen. Füge keinen anderen Text als den TikZ-Code ein."
s_11_1_DE,Many circles are embedded within each other without intersection.,Viele Kreise sind ohne Überschneidung ineinander eingebettet.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Viele Kreise sind ohne Überschneidung ineinander eingebettet. Die Ausgabe sollte als Python-Code erfolgen. Füge keinen anderen Text als den Python-Code ein.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Viele Kreise sind ohne Überschneidung ineinander eingebettet. Die Ausgabe sollte als TikZ-Code erfolgen. Füge keinen anderen Text als den TikZ-Code ein.
s_12_2_DE,The tennis ball moves along a parabola.,Der Tennisball bewegt sich entlang einer Parabel.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Der Tennisball bewegt sich entlang einer Parabel. Die Ausgabe sollte als Python-Code erfolgen. Füge keinen anderen Text als den Python-Code ein.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Der Tennisball bewegt sich entlang einer Parabel. Die Ausgabe sollte als TikZ-Code erfolgen. Füge keinen anderen Text als den TikZ-Code ein.
s_3_3_DE,There is a triangle in the upper left corner of a square.,In der oberen linken Ecke eines Quadrats ist ein Dreieck.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: In der oberen linken Ecke eines Quadrats ist ein Dreieck. Die Ausgabe sollte als Python-Code erfolgen. Füge keinen anderen Text als den Python-Code ein.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: In der oberen linken Ecke eines Quadrats ist ein Dreieck. Die Ausgabe sollte als TikZ-Code erfolgen. Füge keinen anderen Text als den TikZ-Code ein.
sa_2_1_DE,"A big circle is inside a circle, and a small circle is outside of the circle.",Ein großer Kreis ist in einem Kreis und ein kleiner Kreis ist außerhalb des Kreises.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein großer Kreis ist in einem Kreis und ein kleiner Kreis ist außerhalb des Kreises. Die Ausgabe sollte als Python-Code erfolgen. Füge keinen anderen Text als den Python-Code ein.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: Ein großer Kreis ist in einem Kreis und ein kleiner Kreis ist außerhalb des Kreises. Die Ausgabe sollte als TikZ-Code erfolgen. Füge keinen anderen Text als den TikZ-Code ein.
sa_3_4_DE,"In a bar chart, a grey bar is to the right of a green bar, and the leftmost bar is the shortest in the chart.",In einem Balkendiagramm befindet sich ein grauer Balken rechts von einem grünen Balken und der Balken ganz links ist der kürzeste im Diagramm.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: In einem Balkendiagramm befindet sich ein grauer Balken rechts von einem grünen Balken und der Balken ganz links ist der kürzeste im Diagramm. Die Ausgabe sollte als Python-Code erfolgen. Füge keinen anderen Text als den Python-Code ein.,Bitte erstelle eine wissenschaftliche Abbildung gemäß den folgenden Anforderungen: In einem Balkendiagramm befindet sich ein grauer Balken rechts von einem grünen Balken und der Balken ganz links ist der kürzeste im Diagramm. Die Ausgabe sollte als TikZ-Code erfolgen. Füge keinen anderen Text als den TikZ-Code ein.
