ID,Prompt
a_1_1,A black square.
a_2_1,A red triangle and a green circle.
a_3_1,A circle with a blue border.
a_4_1,A yellow circle with the border of a different color.
a_5_1,A circle with its radius marked in orange.
a_6_1,A large rectangle and a small one.
a_7_1,Some squares of different sizes.
a_8_1,The diagonal of the square is red and very thick.
a_9_1,A square with rounded corners.
a_10_1,A triangle with sides of equal length.
a_11_1,Some circles are of different sizes and the largest one is in red.
a_12_1,A box and its shadow which is longer than it.
n_1_1,There are five squares and two circles.
n_2_1,"The number of triangles is 2, and there are 5 more squares than triangles."
n_3_1,A polygon with 3 sides.
n_4_1,A three-by-four matrix.
n_5_1,"M triangles and N circles, where M is greater than N, and M and N are both larger than 1."
n_6_1,"M triangles and N circles, where M is the same as N, and M and N are both larger than 2."
n_7_1,y = 3^{x} and its inverse function.
n_8_1,"Therer are N squares and 3*N circles, where N > 1."
n_9_1,A rectangle with a length of 4 cm and a width of 1/2 of the length.
n_10_1,"A circle is divided into N parts using N-1 lines, where N > 2."
n_11_1,"In the pie chart, the proportion of children is 30%, and the rest are adults."
n_12_1,"A bar chart representing weather distribution, with M sunny days, N rainy days, and K cloudy days, where M + N + K equals 30."
n_13_1,A binary tree with a total of 7 nodes.
n_14_1,There is an artificial neural network with 4 hidden layers.
n_15_1,"A bar chart shows the number of graduates in different subjects within the community. 1,200 studied humanities, 3,500 studied science, and 4,620 studied engineering. The values are marked at the top of each bar."
n_16_1,"The number of students at the university was 21,400 in 2020, 23,000 in 2021, 25,200 in 2022, and 20,300 in 2023. The student numbers over these four years are represented in a line chart. The values are also marked in the chart."
s_1_1,A circle is in the middle of the canvas.
s_2_1,A circle is to the left of a square.
s_3_1,There is a circle in the upper left corner of a square.
s_4_1,A star in each corner of a triangle.
s_5_1,"A circle is inside the square, and a triangle is outside."
s_6_1,A square between a circle and a triangle.
s_7_1,A binary tree with the root at the leftmost position.
s_8_1,A parabola opening upwards. 
s_9_1,A circle and a triangle intersect.
s_10_1,There are many stars around a circle.
s_11_1,Many circles are embedded within each other without intersection.
s_12_1,The badminton ball moves along a parabola.
s_13_1,A container is half filled with water.
s_14_1,"There is a cylinder on the table. The cylinder and the table are on the left side of the image. The top view and the left view of the cylinder are on the right side of the image, and the English texts of 'top view' and 'left view' are annotated beside their shapes."
ns_1_1,5 squares on the left side of the canvas.
ns_2_1,Three circles in the upper left corner of the rectangle.
ns_3_1,There are 4 line segments inside a circle.
ns_4_1,There is a square in the middle of four circles.
ns_5_1,Four squares are to the right of four triangles.
ns_6_1,5 arrows pointing to different directions.
ns_7_1,5 stars are arranged in a row.
ns_8_1,There are two clusters. The leftmost cluster has more dots than the upper-right cluster.
ns_9_1,A rectangle is rotated 30 degrees clockwise.
ns_10_1,The angle between a line and a vertical space is 40 degrees.
ns_11_1,There are 4 tangent lines to a circle.
ns_12_1,A binary tree with 5 nodes. The nodes are connected with arrows that point to the children nodes.
ns_13_1,There are 5 squares on the left side of the canvas and 3 circles on the right side.
ns_14_1,There are 4 boxes on a 30 degree slope.
ns_15_1,A directed graph with 4 nodes and 6 edges. Arrows indicate the direction on edges.
ns_16_1,"Set A contains the numbers 1, 2, 5 and 6, and set B contains 1, 3, and 5. Use a Venn diagram to represent set A and set B"
sa_1_1,A green ball is above a red ball.
sa_2_1,"A big circle is inside a circle, and a small circle is outside of the circle."
sa_3_1,"In a bar chart, a blue bar is to the right of an orange bar, and the leftmost bar is the tallest in the chart."
sa_4_1,The English text (the name of the object) is to the left of the triangle.
sa_5_1,"A red circle is on the left side of the canvas, and a blue square is on the lower right side."
sa_6_1,"A large circle is on the top of the canvas, and a small square is on the bottom."
sa_7_1,There are some arrows pointing to different directions and the upward arrow is marked in red.
sa_8_1,The intersection of the circle and the square is filled with red.
sa_9_1,"There are two parallel lines: a pink line and a light green line. Two lines are parallel and form a 90-degree angle with a third line, which is horizontal."
sa_10_1,A pyramid is inside an upward-curved surface.
na_1_1,3 circles filled with different colors.
na_2_1,A circle is filled with two different colors.
na_3_1,There are three circles equidistant from each other.
na_4_1,There is a big circle and two small circles.
na_5_1,5 triangles of different sizes.
na_6_1,Three triangles of the same size but different shapes.
na_7_1,Two blue spaces divide a pyramid into four parts.
na_8_1,There is a polygon with 3 sides. Each side has a different color.
na_9_1,A transparent box contains 3 red balls and 5 black balls.
na_10_1,There is a square border around three circles.
na_11_1,"There is a N by 2N matrix, where N is an integer. Mark all odd numbers in the matrix in red and even numbers in green."
na_12_1,"There is a circle, a triangle, and a square, with the first two objects closer to each other than to the last object."
na_13_1,"There are 5 monochrome circles in a row and they are filled with blue colors, with colors gradually changing from lighter to darker."
na_14_1,"There is a pie chart representing the population proportion of 5 age groups, from 0 to 100 years old. Each group has the same or a similar range, but their population percentages differ. The age group and their proportion are marked in each pie slice."
na_15_1,A table with three rows and five columns. The row index is marked in the first column.
na_16_1,There is a line chart with two blue lines and the value of each turning point is annotated beside it.
na_17_1,"A flowchart with five steps. The first step is to collect data, and the second step is to analyze the data. The remaining steps are left blank."
na_18_1,A 1000 ml measuring cup is filled with 300 ml of the light blue solution.
na_19_1,A circuit diagram contains a battery and three small light bulbs.
na_20_1,"The distance between the blue car and the red car is 50 meters, The distance is marked with a line segment and the distance number."
nsa_1_1,Two red cylinders are placed inside a cube.
nsa_2_1,"Three cones are aligned in a row; the first one is red, and the others are blue."
nsa_3_1,"Two parallel line segments are inside a circle, with all of their endpoints on the circle.  Mark the endpoints with black dots."
nsa_4_1,"Two lines divide the dots into three clusters. Mark the leftmost cluster in red, the middle cluster in blue, and the last one in green."
nsa_5_1,Two triangles are placed in a coordinate system and are symmetrical about the origin. Object on the one side is in red. Object on the other side is in green.
nsa_6_1,Some tubes are on opposite sides of a plane. There are five black ones on the left and three grey ones on the right.
nsa_7_1,"A line graph with two red lines increasing gradually and intersecting once, and three green lines decreasing gradually without intersecting the other lines."
nsa_8_1,A bar chart with 5 bars and mark the leftmost bar in blue.
nsa_9_1,Four red straight lines are not parallel to each other. They pass through a blue plane and form the same angle with the plane.
nsa_10_1,Four straight lines are located in a coordinate system and are symmetrical about the X-axis in pairs. Each pair shares the same color.
nsa_11_1,A small ball falls from a table 1.5 meters high and bounces to a height of 0.8 meters. The trajectory of the ball's fall and rebound is represented by a red dotted line.
nsa_12_1,"The box on the left contains 5 white balls, and the box on the right contains 3 black balls and 2 green balls."
