ID,Language,Model,Correctness_final,Relevance_final,Scientific_final
sa_2_1_DE,DE,gpt_4o_python,5,5,5
sa_2_1_DE,DE,llama_tikz,3,4.5,5
sa_2_1_ZH,ZH,llama_tikz,3,4.5,5
sa_2_1_DE,DE,gpt_4o_tikz,5,5,5
sa_2_1_EN,EN,gpt_o1_tikz,5,5,5
sa_2_1_FA,FA,llama_python,3,3,5
sa_2_1_ZH,ZH,gpt_o1_python,5,4,5
sa_2_1_ZH,ZH,gpt_o1_tikz,5,5,5
sa_2_1_ZH,ZH,gpt_4o_python,4,4,5
sa_2_1_FA,FA,dalle,4,3,3
sa_2_1_ZH,ZH,llama_python,2.5,3,5
sa_2_1_DE,DE,llama_python,2.5,4,5
sa_2_1_ZH,ZH,dalle,2.5,2.5,2.5
sa_2_1_FA,FA,gpt_4o_python,5,4,5
sa_2_1_DE,DE,dalle,3.5,2.5,2.5
sa_2_1_ZH,ZH,gpt_4o_tikz,4.5,5,5
sa_2_1_FA,FA,llama_tikz,0,0,0
sa_2_1_EN,EN,gpt_o1_python,5,4.5,5
sa_2_1_FA,FA,gpt_4o_tikz,4.5,5,5
sa_2_1_DE,DE,gpt_o1_python,1,1,5
sa_2_1_DE,DE,gpt_o1_tikz,5,5,5
sa_2_1_FA,FA,gpt_o1_tikz,5,5,5
sa_2_1_FA,FA,gpt_o1_python,5,4,5
nsa_12_2_DE,DE,llama_tikz,2.5,2.5,4
nsa_12_2_FA,FA,llama_tikz,0,0,0
nsa_12_2_ZH,ZH,llama_python,1,1.5,4
nsa_12_2_EN,EN,gpt_o1_python,5,5,5
nsa_12_2_EN,EN,gpt_o1_tikz,5,5,5
nsa_12_2_ZH,ZH,llama_tikz,3,4.5,5
nsa_12_2_DE,DE,gpt_4o_tikz,4.5,3.5,5
nsa_12_2_ZH,ZH,gpt_4o_python,3.5,4.5,4.5
nsa_12_2_FA,FA,gpt_4o_python,0,0,0
nsa_12_2_ZH,ZH,gpt_o1_python,5,5,5
nsa_12_2_ZH,ZH,gpt_4o_tikz,4,5,5
nsa_12_2_FA,FA,gpt_o1_python,4,5,5
nsa_12_2_ZH,ZH,gpt_o1_tikz,5,5,5
nsa_12_2_DE,DE,gpt_o1_tikz,5,5,5
nsa_12_2_FA,FA,dalle,2,2.5,2
nsa_12_2_FA,FA,gpt_o1_tikz,5,5,5
nsa_12_2_DE,DE,dalle,2.5,2.5,1
nsa_12_2_DE,DE,gpt_4o_python,5,5,5
nsa_12_2_FA,FA,llama_python,0,0,0
nsa_12_2_FA,FA,gpt_4o_tikz,4,5,5
nsa_12_2_ZH,ZH,dalle,3,3,2
nsa_12_2_DE,DE,llama_python,0,0,0
nsa_12_2_DE,DE,gpt_o1_python,5,5,5
na_14_1_ZH,ZH,gpt_4o_tikz,4.5,5,5
na_14_1_FA,FA,llama_python,4,4,5
na_14_1_DE,DE,gpt_4o_python,3,1.5,4
na_14_1_DE,DE,gpt_4o_tikz,4.5,5,5
na_14_1_DE,DE,dalle,3,2.5,3.5
na_14_1_FA,FA,gpt_4o_python,2.5,1.5,4
na_14_1_DE,DE,gpt_o1_tikz,0,0,0
na_14_1_FA,FA,gpt_o1_tikz,4,4.5,5
na_14_1_FA,FA,gpt_4o_tikz,4,5,5
na_14_1_DE,DE,llama_python,5,5,5
na_14_1_EN,EN,gpt_o1_python,5,5,5
na_14_1_FA,FA,llama_tikz,0,0,0
na_14_1_ZH,ZH,gpt_o1_python,4.5,5,5
na_14_1_FA,FA,dalle,3.5,3.5,2.5
na_14_1_ZH,ZH,gpt_4o_python,4.5,5,5
na_14_1_ZH,ZH,llama_python,4,4.5,5
na_14_1_FA,FA,gpt_o1_python,4,4.5,5
na_14_1_ZH,ZH,gpt_o1_tikz,0,0,0
na_14_1_ZH,ZH,dalle,3.5,3,2.5
na_14_1_ZH,ZH,llama_tikz,0,0,0
na_14_1_DE,DE,llama_tikz,0,0,0
na_14_1_DE,DE,gpt_o1_python,4.5,4.5,5
